match_no,date,team1,team2,predicted_winner,actual_winner,confidence_pct,correct
501220,23-Apr-2011,Punjab Kings,Rajasthan Royals,Rajasthan Royals,Punjab Kings,56.4,0
501221,24-Apr-2011,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Mumbai Indians,55.7,0
501222,25-Apr-2011,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore,57.1,1
501223,26-Apr-2011,Delhi Capitals,Punjab Kings,Punjab Kings,Delhi Capitals,57.5,0
501224,27-Apr-2011,Mumbai Indians,Deccan Chargers,Deccan Chargers,Mumbai Indians,54.6,0
501225,28-Apr-2011,Kochi Tuskers Kerala,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,60.8,1
501226,01-May-2011,Chennai Super Kings,Pune Warriors,Pune Warriors,Chennai Super Kings,61.2,0
501227,02-May-2011,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore,58.6,1
501228,03-May-2011,Pune Warriors,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,54.2,1
501229,04-May-2011,Deccan Chargers,Kochi Tuskers Kerala,Kochi Tuskers Kerala,Deccan Chargers,60.2,0
501230,05-May-2011,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,Kolkata Knight Riders,51.6,0
501231,06-May-2011,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,58.6,1
501232,07-May-2011,Royal Challengers Bangalore,Pune Warriors,Pune Warriors,Royal Challengers Bangalore,51.5,0
501233,08-May-2011,Delhi Capitals,Kochi Tuskers Kerala,Kochi Tuskers Kerala,Delhi Capitals,53.7,0
501234,09-May-2011,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,51.5,1
501235,10-May-2011,Pune Warriors,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,57.8,1
501236,11-May-2011,Chennai Super Kings,Deccan Chargers,Deccan Chargers,Chennai Super Kings,54.4,0
501237,12-May-2011,Mumbai Indians,Punjab Kings,Punjab Kings,Mumbai Indians,59.2,0
