match_no,date,team1,team2,predicted_winner,actual_winner,confidence_pct,correct
598053,27-May-2013,Kolkata Knight Riders,Pune Warriors,Pune Warriors,Kolkata Knight Riders,54.2,0
598054,28-May-2013,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,53.8,1
598055,01-Jun-2013,Pune Warriors,Mumbai Indians,Mumbai Indians,Mumbai Indians,55.2,1
598056,02-Jun-2013,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,Sunrisers Hyderabad,53.0,0
598057,03-Jun-2013,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,50.1,0
598058,04-Jun-2013,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,64.4,1
598059,05-Jun-2013,Delhi Capitals,Punjab Kings,Punjab Kings,Punjab Kings,57.5,1
598060,06-Jun-2013,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,Mumbai Indians,56.2,1
598061,07-Jun-2013,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,Pune Warriors,53.0,0
598062,08-Jun-2013,Chennai Super Kings,Delhi Capitals,Delhi Capitals,Chennai Super Kings,53.9,0
598063,09-Jun-2013,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Mumbai Indians,59.6,0
598064,10-Jun-2013,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,Punjab Kings,53.8,1
598065,11-Jun-2013,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,Sunrisers Hyderabad,53.2,0
598066,12-Jun-2013,Punjab Kings,Mumbai Indians,Mumbai Indians,Punjab Kings,52.5,0
598067,13-Jun-2013,Pune Warriors,Delhi Capitals,Delhi Capitals,Pune Warriors,58.3,0
598068,14-Jun-2013,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,51.7,1
598069,15-Jun-2013,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,50.5,1
598070,16-Jun-2013,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,52.0,1
598071,17-Jun-2013,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,51.8,0
598072,18-Jun-2013,Rajasthan Royals,Mumbai Indians,Mumbai Indians,Mumbai Indians,51.0,1
598073,19-Jun-2013,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Mumbai Indians,54.9,0
729279,02-Apr-2014,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Kolkata Knight Riders,54.5,0
729281,03-Apr-2014,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore,63.9,1
729283,04-Apr-2014,Chennai Super Kings,Punjab Kings,Punjab Kings,Punjab Kings,52.7,1
729285,05-Apr-2014,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,54.4,1
729287,06-Apr-2014,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore,55.5,1
729289,07-Apr-2014,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,Delhi Capitals,53.4,1
729291,08-Apr-2014,Rajasthan Royals,Punjab Kings,Punjab Kings,Punjab Kings,56.2,1
729293,09-Apr-2014,Chennai Super Kings,Delhi Capitals,Delhi Capitals,Chennai Super Kings,56.9,0
729295,10-Apr-2014,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Punjab Kings,58.4,0
729297,11-Apr-2014,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Chennai Super Kings,60.7,0
729299,12-Apr-2014,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,61.0,0
729301,13-Apr-2014,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,Sunrisers Hyderabad,54.5,0
729303,14-Apr-2014,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,54.8,1
729305,15-Apr-2014,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,55.2,1
729307,16-Apr-2014,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,Punjab Kings,55.7,0
729309,17-Apr-2014,Mumbai Indians,Delhi Capitals,Delhi Capitals,Delhi Capitals,57.8,1
729311,18-Apr-2014,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,59.6,1
729313,19-Apr-2014,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,Punjab Kings,50.6,1
729317,20-Apr-2014,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,50.9,1
733971,21-Apr-2014,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Chennai Super Kings,51.3,0
733973,22-Apr-2014,Punjab Kings,Mumbai Indians,Mumbai Indians,Mumbai Indians,55.7,1
733975,23-Apr-2014,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,57.8,1
733977,24-Apr-2014,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore,52.2,1
733979,25-Apr-2014,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Rajasthan Royals,52.9,0
733981,26-Apr-2014,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,53.9,1
733983,27-Apr-2014,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Mumbai Indians,60.3,0
733985,28-Apr-2014,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,50.7,0
733987,01-May-2014,Punjab Kings,Chennai Super Kings,Punjab Kings,Punjab Kings,52.1,1
733989,02-May-2014,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,Sunrisers Hyderabad,52.4,0
733991,03-May-2014,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,Punjab Kings,55.3,0
733993,04-May-2014,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,58.9,1
733995,05-May-2014,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,55.7,1
733997,06-May-2014,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,50.1,1
733999,07-May-2014,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,50.9,1
734001,08-May-2014,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,Mumbai Indians,54.7,1
734003,09-May-2014,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,55.9,1
734005,10-May-2014,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,51.0,1
734007,11-May-2014,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,Punjab Kings,53.3,1
734009,12-May-2014,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,51.6,1
734011,13-May-2014,Rajasthan Royals,Delhi Capitals,Delhi Capitals,Rajasthan Royals,51.5,0
734013,14-May-2014,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,52.4,0
734015,15-May-2014,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,55.8,1
734017,16-May-2014,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Mumbai Indians,51.2,0
734019,17-May-2014,Delhi Capitals,Punjab Kings,Punjab Kings,Punjab Kings,57.5,1
734021,18-May-2014,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,51.4,1
734023,19-May-2014,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,59.1,1
734025,20-May-2014,Punjab Kings,Mumbai Indians,Mumbai Indians,Mumbai Indians,55.3,1
734027,21-May-2014,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,57.1,0
734029,22-May-2014,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,62.5,1
734031,23-May-2014,Mumbai Indians,Delhi Capitals,Delhi Capitals,Mumbai Indians,56.4,0
734033,24-May-2014,Punjab Kings,Rajasthan Royals,Rajasthan Royals,Punjab Kings,56.4,0
734035,25-May-2014,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,51.7,0
734037,26-May-2014,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,51.5,0
734039,27-May-2014,Delhi Capitals,Punjab Kings,Punjab Kings,Punjab Kings,62.0,1
734041,28-May-2014,Rajasthan Royals,Mumbai Indians,Mumbai Indians,Mumbai Indians,56.3,1
734043,01-Jun-2014,Kolkata Knight Riders,Punjab Kings,Punjab Kings,Kolkata Knight Riders,56.0,0
734045,02-Jun-2014,Mumbai Indians,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,50.2,0
734047,03-Jun-2014,Punjab Kings,Chennai Super Kings,Chennai Super Kings,Punjab Kings,54.1,0
734049,04-Jun-2014,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,52.7,1
829705,02-Apr-2015,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,53.1,1
829707,03-Apr-2015,Chennai Super Kings,Delhi Capitals,Delhi Capitals,Chennai Super Kings,58.7,0
829709,04-Apr-2015,Rajasthan Royals,Punjab Kings,Punjab Kings,Rajasthan Royals,54.1,0
829711,05-Apr-2015,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,52.5,1
829713,06-Apr-2015,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore,57.1,1
829715,07-Apr-2015,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,57.8,1
829717,08-Apr-2015,Punjab Kings,Mumbai Indians,Mumbai Indians,Punjab Kings,57.0,0
829719,09-Apr-2015,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,53.4,1
829721,10-Apr-2015,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,51.2,1
829723,11-Apr-2015,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,59.1,1
829725,12-Apr-2015,Punjab Kings,Delhi Capitals,Delhi Capitals,Delhi Capitals,55.9,1
829727,13-Apr-2015,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,50.0,1
829729,14-Apr-2015,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,59.6,1
829731,15-Apr-2015,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,53.6,1
829733,16-Apr-2015,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,53.4,1
829735,17-Apr-2015,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,50.2,1
829737,18-Apr-2015,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Mumbai Indians,56.8,0
829739,19-Apr-2015,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,56.1,1
829743,20-Apr-2015,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,51.8,1
829745,21-Apr-2015,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,Chennai Super Kings,62.7,0
829747,22-Apr-2015,Delhi Capitals,Mumbai Indians,Mumbai Indians,Delhi Capitals,56.8,0
829749,23-Apr-2015,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore,55.4,1
829751,24-Apr-2015,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,Mumbai Indians,52.3,0
829753,25-Apr-2015,Chennai Super Kings,Punjab Kings,Chennai Super Kings,Chennai Super Kings,50.4,1
829757,26-Apr-2015,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore,58.6,1
829759,27-Apr-2015,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,Sunrisers Hyderabad,53.0,0
829761,28-Apr-2015,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,Kolkata Knight Riders,53.6,0
829765,01-May-2015,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Chennai Super Kings,60.1,0
829767,02-May-2015,Punjab Kings,Delhi Capitals,Punjab Kings,Delhi Capitals,51.5,0
829769,03-May-2015,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Mumbai Indians,59.6,0
829771,04-May-2015,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore,58.3,1
829773,05-May-2015,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,50.4,1
829775,06-May-2015,Mumbai Indians,Punjab Kings,Punjab Kings,Mumbai Indians,52.6,0
829777,07-May-2015,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,51.7,1
829779,08-May-2015,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,52.0,1
829781,09-May-2015,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,57.5,0
829783,10-May-2015,Delhi Capitals,Mumbai Indians,Mumbai Indians,Mumbai Indians,54.7,1
829785,11-May-2015,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,Royal Challengers Bangalore,51.9,0
829787,12-May-2015,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,50.8,1
829789,13-May-2015,Chennai Super Kings,Mumbai Indians,Mumbai Indians,Mumbai Indians,50.7,1
829791,14-May-2015,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,52.0,1
829793,15-May-2015,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,Sunrisers Hyderabad,58.4,0
829795,16-May-2015,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Royal Challengers Bangalore,56.1,0
829797,17-May-2015,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,50.9,1
829799,18-May-2015,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,Sunrisers Hyderabad,53.7,0
829801,19-May-2015,Chennai Super Kings,Delhi Capitals,Delhi Capitals,Delhi Capitals,56.6,1
829803,20-May-2015,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,Punjab Kings,57.1,0
829805,21-May-2015,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,Mumbai Indians,57.8,0
829807,22-May-2015,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore,52.1,1
829809,23-May-2015,Punjab Kings,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,58.2,1
829811,24-May-2015,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Rajasthan Royals,51.0,0
829815,25-May-2015,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,Mumbai Indians,54.7,1
829817,26-May-2015,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Mumbai Indians,59.6,0
829819,27-May-2015,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,Royal Challengers Bangalore,51.6,0
829821,28-May-2015,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,52.3,0
829823,01-Jun-2015,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Mumbai Indians,50.9,0
980901,02-Apr-2016,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,Rising Pune Supergiant,53.3,1
980903,03-Apr-2016,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,57.6,1
980905,04-Apr-2016,Punjab Kings,Gujarat Lions,Gujarat Lions,Gujarat Lions,53.2,1
980907,05-Apr-2016,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,53.4,0
980909,06-Apr-2016,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Mumbai Indians,55.3,1
980911,07-Apr-2016,Rising Pune Supergiant,Gujarat Lions,Gujarat Lions,Gujarat Lions,57.4,1
980913,08-Apr-2016,Punjab Kings,Delhi Capitals,Punjab Kings,Delhi Capitals,51.5,0
980915,09-Apr-2016,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,55.8,1
980917,10-Apr-2016,Mumbai Indians,Gujarat Lions,Gujarat Lions,Gujarat Lions,56.7,1
980919,11-Apr-2016,Rising Pune Supergiant,Punjab Kings,Punjab Kings,Punjab Kings,52.9,1
980921,12-Apr-2016,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,51.0,0
980923,13-Apr-2016,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,59.2,1
980925,14-Apr-2016,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,54.3,1
980927,15-Apr-2016,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Mumbai Indians,54.8,1
980929,16-Apr-2016,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,63.1,1
980931,17-Apr-2016,Royal Challengers Bangalore,Rising Pune Supergiant,Rising Pune Supergiant,Royal Challengers Bangalore,53.3,0
980933,18-Apr-2016,Delhi Capitals,Mumbai Indians,Mumbai Indians,Delhi Capitals,56.8,0
980935,19-Apr-2016,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,57.7,1
980937,20-Apr-2016,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,Gujarat Lions,57.5,1
980939,21-Apr-2016,Rising Pune Supergiant,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,51.9,1
980941,22-Apr-2016,Mumbai Indians,Punjab Kings,Punjab Kings,Mumbai Indians,57.3,0
980943,23-Apr-2016,Sunrisers Hyderabad,Rising Pune Supergiant,Rising Pune Supergiant,Rising Pune Supergiant,54.0,1
980945,24-Apr-2016,Gujarat Lions,Delhi Capitals,Delhi Capitals,Gujarat Lions,53.9,0
980947,25-Apr-2016,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Mumbai Indians,60.0,1
980949,26-Apr-2016,Rising Pune Supergiant,Gujarat Lions,Gujarat Lions,Gujarat Lions,50.8,1
980951,27-Apr-2016,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,Delhi Capitals,56.1,0
980953,28-Apr-2016,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad,54.4,0
980955,01-May-2016,Punjab Kings,Gujarat Lions,Gujarat Lions,Punjab Kings,54.0,0
980957,02-May-2016,Rising Pune Supergiant,Mumbai Indians,Mumbai Indians,Mumbai Indians,52.6,1
980959,03-May-2016,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,50.4,1
980961,04-May-2016,Gujarat Lions,Delhi Capitals,Delhi Capitals,Delhi Capitals,59.0,1
980963,05-May-2016,Kolkata Knight Riders,Punjab Kings,Punjab Kings,Kolkata Knight Riders,56.0,0
980965,06-May-2016,Delhi Capitals,Rising Pune Supergiant,Rising Pune Supergiant,Rising Pune Supergiant,58.2,1
980967,07-May-2016,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,62.9,1
980969,08-May-2016,Rising Pune Supergiant,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore,53.8,1
980971,09-May-2016,Punjab Kings,Delhi Capitals,Delhi Capitals,Punjab Kings,52.9,0
980973,10-May-2016,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,51.1,1
980975,11-May-2016,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,Gujarat Lions,53.5,1
980977,12-May-2016,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,Royal Challengers Bangalore,53.5,0
980979,13-May-2016,Sunrisers Hyderabad,Rising Pune Supergiant,Sunrisers Hyderabad,Sunrisers Hyderabad,51.0,1
980981,14-May-2016,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Mumbai Indians,51.2,1
980983,15-May-2016,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,Delhi Capitals,50.4,1
980985,16-May-2016,Mumbai Indians,Punjab Kings,Mumbai Indians,Punjab Kings,50.7,0
980987,17-May-2016,Royal Challengers Bangalore,Gujarat Lions,Royal Challengers Bangalore,Royal Challengers Bangalore,50.6,1
980989,18-May-2016,Rising Pune Supergiant,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,52.2,1
980991,19-May-2016,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,50.5,1
980993,20-May-2016,Mumbai Indians,Delhi Capitals,Delhi Capitals,Mumbai Indians,51.4,0
980995,21-May-2016,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore,57.1,1
980997,22-May-2016,Delhi Capitals,Rising Pune Supergiant,Rising Pune Supergiant,Rising Pune Supergiant,59.5,1
980999,23-May-2016,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,Royal Challengers Bangalore,51.9,0
981001,24-May-2016,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,Gujarat Lions,53.7,1
981003,25-May-2016,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,Delhi Capitals,50.9,1
981005,26-May-2016,Punjab Kings,Rising Pune Supergiant,Punjab Kings,Rising Pune Supergiant,51.5,0
981007,27-May-2016,Mumbai Indians,Gujarat Lions,Gujarat Lions,Gujarat Lions,52.1,1
981009,28-May-2016,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,57.5,0
981011,01-Jun-2016,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore,63.7,1
981013,02-Jun-2016,Gujarat Lions,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore,60.5,1
981015,03-Jun-2016,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,53.1,1
981017,04-Jun-2016,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,58.2,1
981019,05-Jun-2016,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,50.0,1
1082591,02-Apr-2017,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad,54.4,0
1082592,03-Apr-2017,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,Rising Pune Supergiant,57.1,1
1082593,04-Apr-2017,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,60.4,1
1082594,05-Apr-2017,Rising Pune Supergiant,Punjab Kings,Punjab Kings,Punjab Kings,52.0,1
1082595,06-Apr-2017,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,Royal Challengers Bangalore,55.8,0
1082596,07-Apr-2017,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,62.9,1
1082597,08-Apr-2017,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Mumbai Indians,60.0,1
1082598,09-Apr-2017,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,Punjab Kings,50.8,1
1082599,10-Apr-2017,Delhi Capitals,Rising Pune Supergiant,Rising Pune Supergiant,Delhi Capitals,61.5,0
1082600,11-Apr-2017,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,Mumbai Indians,54.0,1
1082601,12-Apr-2017,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,51.5,1
1082602,13-Apr-2017,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Mumbai Indians,51.2,1
1082603,14-Apr-2017,Rising Pune Supergiant,Gujarat Lions,Gujarat Lions,Gujarat Lions,52.5,1
1082604,15-Apr-2017,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,57.5,0
1082605,16-Apr-2017,Delhi Capitals,Punjab Kings,Delhi Capitals,Delhi Capitals,52.8,1
1082606,17-Apr-2017,Gujarat Lions,Mumbai Indians,Mumbai Indians,Mumbai Indians,62.2,1
1082607,18-Apr-2017,Rising Pune Supergiant,Royal Challengers Bangalore,Royal Challengers Bangalore,Rising Pune Supergiant,53.8,0
1082608,19-Apr-2017,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,50.7,0
1082609,20-Apr-2017,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,Sunrisers Hyderabad,53.3,0
1082610,21-Apr-2017,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,Royal Challengers Bangalore,51.8,0
1082611,22-Apr-2017,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,Sunrisers Hyderabad,57.9,0
1082612,23-Apr-2017,Punjab Kings,Mumbai Indians,Mumbai Indians,Mumbai Indians,52.8,1
1082613,24-Apr-2017,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,Gujarat Lions,53.5,1
1082614,25-Apr-2017,Mumbai Indians,Delhi Capitals,Delhi Capitals,Mumbai Indians,56.4,0
1082615,26-Apr-2017,Sunrisers Hyderabad,Rising Pune Supergiant,Rising Pune Supergiant,Rising Pune Supergiant,52.5,1
1082616,27-Apr-2017,Punjab Kings,Gujarat Lions,Gujarat Lions,Punjab Kings,54.0,0
1082617,28-Apr-2017,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,57.1,0
1082618,01-May-2017,Rising Pune Supergiant,Mumbai Indians,Mumbai Indians,Rising Pune Supergiant,55.5,0
1082620,02-May-2017,Rising Pune Supergiant,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,51.9,1
1082621,03-May-2017,Royal Challengers Bangalore,Gujarat Lions,Royal Challengers Bangalore,Gujarat Lions,50.6,0
1082622,04-May-2017,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,57.6,1
1082623,05-May-2017,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,Sunrisers Hyderabad,52.7,0
1082624,06-May-2017,Rising Pune Supergiant,Royal Challengers Bangalore,Royal Challengers Bangalore,Rising Pune Supergiant,54.4,0
1082626,07-May-2017,Delhi Capitals,Punjab Kings,Punjab Kings,Punjab Kings,61.7,1
1082627,08-May-2017,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Sunrisers Hyderabad,51.8,0
1082628,09-May-2017,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Mumbai Indians,56.1,1
1082629,10-May-2017,Gujarat Lions,Rising Pune Supergiant,Rising Pune Supergiant,Rising Pune Supergiant,60.8,1
1082630,11-May-2017,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,54.6,0
